Date,Open,High,Low,Close,Volume
11-Apr-16,108.97,110.61,108.83,109.02,28313525
8-Apr-16,108.91,109.77,108.17,108.66,23514462
7-Apr-16,109.95,110.42,108.12,108.54,30881022
6-Apr-16,110.23,110.98,109.20,110.96,26047772
5-Apr-16,109.51,110.73,109.42,109.81,26495312
4-Apr-16,110.42,112.19,110.27,111.12,37243224
1-Apr-16,108.78,110.00,108.20,109.99,25626163
31-Mar-16,109.72,109.90,108.88,108.99,25685672
30-Mar-16,108.65,110.42,108.60,109.56,45159861
29-Mar-16,104.89,107.79,104.88,107.68,30774115
28-Mar-16,106.00,106.19,105.06,105.19,19303557
24-Mar-16,105.47,106.25,104.89,105.67,25480914
23-Mar-16,106.48,107.07,105.90,106.13,25452612
22-Mar-16,105.25,107.29,105.21,106.72,32232567
21-Mar-16,105.93,107.65,105.14,105.91,35180796
18-Mar-16,106.34,106.50,105.19,105.92,43402289
17-Mar-16,105.52,106.47,104.96,105.80,34244593
16-Mar-16,104.61,106.31,104.59,105.97,37893758
15-Mar-16,103.96,105.18,103.85,104.58,40067734
14-Mar-16,101.91,102.91,101.78,102.52,25027426
11-Mar-16,102.24,102.28,101.50,102.26,27200833
10-Mar-16,101.41,102.24,100.15,101.17,33513577
9-Mar-16,101.31,101.58,100.27,101.12,27130729
8-Mar-16,100.78,101.76,100.40,101.03,31274161
7-Mar-16,102.39,102.83,100.96,101.87,35828909
4-Mar-16,102.37,103.75,101.37,103.01,45936485
3-Mar-16,100.58,101.71,100.45,101.50,36792245
2-Mar-16,100.51,100.89,99.64,100.75,33084941
1-Mar-16,97.65,100.77,97.42,100.53,50153943
29-Feb-16,96.86,98.23,96.65,96.69,34876558
26-Feb-16,97.20,98.02,96.58,96.91,28913208
25-Feb-16,96.05,96.76,95.25,96.76,27393905
24-Feb-16,93.98,96.38,93.32,96.10,36155642
23-Feb-16,96.40,96.50,94.55,94.69,31686699
22-Feb-16,96.31,96.90,95.92,96.88,34048195
19-Feb-16,96.00,96.76,95.80,96.04,34485576
18-Feb-16,98.84,98.89,96.09,96.26,38494442
17-Feb-16,96.67,98.21,96.15,98.12,44390173
16-Feb-16,95.02,96.85,94.61,96.64,47490678
12-Feb-16,94.19,94.50,93.01,93.99,40121670
11-Feb-16,93.79,94.72,92.59,93.70,49686210
10-Feb-16,95.92,96.35,94.10,94.27,42244975
9-Feb-16,94.29,95.94,93.93,94.99,44262912
8-Feb-16,93.13,95.70,93.04,95.01,53852284
5-Feb-16,96.52,96.92,93.69,94.02,45853883
4-Feb-16,95.86,97.33,95.19,96.60,46263907
3-Feb-16,95.00,96.84,94.08,96.35,45366710
2-Feb-16,95.42,96.04,94.28,94.48,37081206
1-Feb-16,96.47,96.71,95.40,96.43,40571593
29-Jan-16,94.79,97.34,94.35,97.34,64010141
28-Jan-16,93.79,94.52,92.39,94.09,55557109
27-Jan-16,96.04,96.63,93.34,93.42,132224500
26-Jan-16,99.93,100.88,98.07,99.99,63538305
25-Jan-16,101.52,101.53,99.21,99.44,51196375
22-Jan-16,98.63,101.46,98.37,101.42,65562769
21-Jan-16,97.06,97.88,94.94,96.30,52054521
20-Jan-16,95.10,98.19,93.42,96.79,72008265
19-Jan-16,98.41,98.65,95.50,96.66,52841349
15-Jan-16,96.20,97.71,95.36,97.13,79010008
14-Jan-16,97.96,100.48,95.74,99.52,62424154
13-Jan-16,100.32,101.19,97.30,97.39,61745031
12-Jan-16,100.55,100.69,98.84,99.96,49154227
11-Jan-16,98.97,99.06,97.34,98.53,49739377
8-Jan-16,98.55,99.11,96.76,96.96,70798016
7-Jan-16,98.68,100.13,96.43,96.45,81094428
6-Jan-16,100.56,102.37,99.87,100.70,68457388
5-Jan-16,105.75,105.85,102.41,102.71,55790992
4-Jan-16,102.61,105.37,102.00,105.35,67281190
31-Dec-15,107.01,107.03,104.82,105.26,40912316
30-Dec-15,108.58,108.70,107.18,107.32,25213777
29-Dec-15,106.96,109.43,106.86,108.74,30931243
28-Dec-15,107.59,107.69,106.18,106.82,26704210
24-Dec-15,109.00,109.00,107.95,108.03,13596680
23-Dec-15,107.27,108.85,107.20,108.61,32657354
22-Dec-15,107.40,107.72,106.45,107.23,32789367
21-Dec-15,107.28,107.37,105.57,107.33,47590610
18-Dec-15,108.91,109.52,105.81,106.03,96453327
17-Dec-15,112.02,112.25,108.98,108.98,44772827
16-Dec-15,111.07,111.99,108.80,111.34,56238467
15-Dec-15,111.94,112.80,110.35,110.49,53323105
14-Dec-15,112.18,112.68,109.79,112.48,64318732
11-Dec-15,115.19,115.39,112.85,113.18,46886161
10-Dec-15,116.04,116.94,115.51,116.17,29212727
